cell_id,developmental_age,cell_type
SRR13524052,P3,sgn
SRR13524051,P3,sgn
SRR13524053,P3,sgn
SRR13524049,P3,sgn
SRR13524050,P3,sgn
SRR13524047,P3,sgn
SRR13524046,P3,sgn
SRR13524045,P3,sgn
SRR13524054,P3,sgn
SRR13524058,P3,sgn
SRR13524055,P3,sgn
SRR13524057,P3,sgn
SRR13524056,P3,sgn
SRR13524062,P3,sgn
SRR13524060,P3,sgn
SRR13524059,P3,sgn
SRR13524063,P3,sgn
SRR13524061,P3,sgn
SRR13524066,P3,sgn
SRR13524072,P3,sgn
SRR13524073,P3,sgn
SRR13524070,P3,sgn
SRR13524065,P3,sgn
SRR13524068,P3,sgn
SRR13524069,P3,sgn
SRR13524067,P3,sgn
SRR13524064,P3,sgn
SRR13524080,P3,sgn
SRR13524075,P3,sgn
SRR13524079,P3,sgn
SRR13524074,P3,sgn
SRR13524083,P3,sgn
SRR13524082,P3,sgn
SRR13524081,P3,sgn
SRR13524078,P3,sgn
SRR13524077,P3,sgn
SRR13524076,P3,sgn
SRR13524092,P3,sgn
SRR13524087,P3,sgn
SRR13524088,P3,sgn
SRR13524085,P3,sgn
SRR13524086,P3,sgn
SRR13524091,P3,sgn
SRR13524090,P3,sgn
SRR13524089,P3,sgn
SRR13524093,P3,sgn
SRR13524084,P3,sgn
SRR13524094,P3,sgn
SRR13524101,P3,sgn
SRR13524096,P3,sgn
SRR13524102,P3,sgn
SRR13524097,P3,sgn
SRR13524100,P3,sgn
SRR13524095,P3,sgn
SRR13524099,P3,sgn
SRR13524103,P3,sgn
SRR13524107,P3,sgn
SRR13524113,P3,sgn
SRR13524112,P3,sgn
SRR13524111,P3,sgn
SRR13524109,P3,sgn
SRR13524108,P3,sgn
SRR13524110,P3,sgn
SRR13524104,P3,sgn
SRR13524105,P3,sgn
SRR13524106,P3,sgn
SRR13524114,P3,sgn
SRR13524121,P3,sgn
SRR13524118,P3,sgn
SRR13524120,P3,sgn
SRR13524119,P3,sgn
SRR13524116,P3,sgn
SRR13524115,P3,sgn
SRR13524117,P3,sgn
SRR13524123,P3,sgn
SRR13524122,P3,sgn
SRR13524124,P3,sgn
SRR13524133,P3,sgn
SRR13524129,P3,sgn
SRR13524127,P3,sgn
SRR13524132,P3,sgn
SRR13524130,P3,sgn
SRR13524128,P3,sgn
SRR13524131,P3,sgn
SRR13524125,P3,sgn
SRR13524138,P3,sgn
SRR13524136,P3,sgn
SRR13524137,P3,sgn
SRR13524134,P3,sgn
SRR13524139,P3,sgn
SRR13524140,P3,sgn
SRR13524142,P3,sgn
SRR13524141,P3,sgn
SRR13524143,P3,sgn
SRR13524135,P3,sgn
SRR13524151,E16.5,sgn
SRR13524152,E16.5,sgn
SRR13524153,E16.5,sgn
SRR13524159,E16.5,sgn
SRR13524158,E16.5,sgn
SRR13524161,E16.5,sgn
SRR13524160,E16.5,sgn
SRR13524162,E16.5,sgn
SRR13524163,E16.5,sgn
SRR13524156,E16.5,sgn
SRR13524155,E16.5,sgn
SRR13524154,E16.5,sgn
SRR13524171,E16.5,sgn
SRR13524167,E16.5,sgn
SRR13524170,E16.5,sgn
SRR13524169,E16.5,sgn
SRR13524168,E16.5,sgn
SRR13524173,E16.5,sgn
SRR13524172,E16.5,sgn
SRR13524164,E16.5,sgn
SRR13524165,E16.5,sgn
SRR13524166,E16.5,sgn
SRR13524180,E16.5,sgn
SRR13524174,E16.5,sgn
SRR13524181,E16.5,sgn
SRR13524182,E16.5,sgn
SRR13524178,E16.5,sgn
SRR13524183,E16.5,sgn
SRR13524177,E16.5,sgn
SRR13524176,E16.5,sgn
SRR13524179,E16.5,sgn
SRR13524175,E16.5,sgn
SRR13524192,E16.5,sgn
SRR13524193,E16.5,sgn
SRR13524191,E16.5,sgn
SRR13524189,E16.5,sgn
SRR13524188,E16.5,sgn
SRR13524190,E16.5,sgn
SRR13524187,E16.5,sgn
SRR13524186,E16.5,sgn
SRR13524185,E16.5,sgn
SRR13524184,E16.5,sgn
SRR13524194,E16.5,sgn
SRR13524200,E16.5,sgn
SRR13524201,E16.5,sgn
SRR13524203,E16.5,sgn
SRR13524202,E16.5,sgn
SRR13524195,E16.5,sgn
SRR13524196,E16.5,sgn
SRR13524197,E16.5,sgn
SRR13524199,E16.5,sgn
SRR13524198,E16.5,sgn
SRR13524204,E16.5,sgn
SRR13524213,E16.5,sgn
SRR13524205,E16.5,sgn
SRR13524210,E16.5,sgn
SRR13524206,E16.5,sgn
SRR13524212,E16.5,sgn
SRR13524207,E16.5,sgn
SRR13524208,E16.5,sgn
SRR13524209,E16.5,sgn
SRR13524214,E16.5,sgn
SRR13524217,E16.5,sgn
SRR13524215,E16.5,sgn
SRR13524216,E16.5,sgn
SRR13524218,E16.5,sgn
SRR13524220,E16.5,sgn
SRR13524219,E16.5,sgn
SRR13524221,E16.5,sgn
SRR13524222,E16.5,sgn
SRR13524226,E16.5,sgn
SRR13524223,E16.5,sgn
SRR13524224,E16.5,sgn
SRR13524225,E16.5,sgn
SRR13524228,E16.5,sgn
SRR13524231,E16.5,sgn
SRR13524227,E16.5,sgn
SRR13524229,E16.5,sgn
SRR13524230,E16.5,sgn
SRR13524232,E16.5,sgn
SRR13524236,E16.5,sgn
SRR13524234,E16.5,sgn
SRR13524233,E16.5,sgn
SRR13524237,E16.5,sgn
SRR13524240,E16.5,sgn
SRR13524241,E16.5,sgn
SRR13524238,E16.5,sgn
SRR13524242,E16.5,sgn
SRR13524239,E16.5,sgn
SRR13524243,E16.5,sgn
SRR13524251,E16.5,sgn
SRR13524248,E16.5,sgn
SRR13524245,E16.5,sgn
SRR13524250,E16.5,sgn
SRR13524247,E16.5,sgn
SRR13524249,E16.5,sgn
SRR13524244,E16.5,sgn
SRR13524246,E16.5,sgn
SRR13524252,E16.5,sgn
SRR13524255,E16.5,sgn
SRR13524254,E16.5,sgn
SRR13524256,E16.5,sgn
SRR13524257,E16.5,sgn
SRR13524259,E16.5,sgn
SRR13524258,E16.5,sgn
SRR13524253,E16.5,sgn
